20170220,3239.96,232152112,25027614,13950,0.68,20170220,55.99
20170217,3202.08,226228176,24857276,11691,0.57,20170217,54.76
20170216,3229.62,216955952,22658760,9294,0.45,20170216,55.71
20170215,3212.99,241507696,25796524,14130,0.69,20170215,55.64
20170214,3217.93,188798096,20425382,8408,0.41,20170214,56.56
20170213,3216.84,220191504,23615876,15400,0.75,20170213,56.51
20170210,3196.7,239348928,24577216,29079,1.41,20170210,56.45
20170209,3183.18,191640336,20972316,17818,0.86,20170209,55.39
20170208,3166.98,144920192,17085412,9423,0.46,20170208,54.02
20170207,3153.09,128337440,15255909,8324,0.4,20170207,53.69
20170206,3156.98,127198280,15006769,10643,0.52,20170206,54.25
20170203,3140.17,92224736,10802366,6013,0.29,20170203,54.22
20170126,3159.17,113876776,12501320,6400,0.31,20170126,54.56
20170125,3149.55,112073832,12676583,7041,0.34,20170125,54.53
20170124,3142.55,125973880,13455385,11849,0.57,20170124,54.23
20170123,3136.77,132660384,14814573,15092,0.73,20170123,53.9
20170120,3123.14,122366784,14147181,14823,0.72,20170120,53.61
20170119,3101.3,123851416,13928047,6867,0.33,20170119,52.41
20170118,3113.01,131780128,14454673,10296,0.5,20170118,52.58
20170117,3108.77,136157856,15475756,13756,0.67,20170117,52.75
20170116,3103.43,257886000,26282604,29551,1.43,20170116,52.74
20170113,3112.76,156274224,17443854,13783,0.67,20170113,56.23
20170112,3119.29,148889248,16192230,8600,0.42,20170112,57.1
20170111,3136.75,178362224,18918646,10429,0.51,20170111,56.84
20170110,3161.67,179759200,19496322,9884,0.48,20170110,56.93
20170109,3171.24,171714080,19211058,9683,0.47,20170109,57.33
20170106,3154.32,183708960,20729604,13472,0.65,20170106,57.3
20170105,3165.41,174727632,19969202,8040,0.39,20170105,57.88
20170104,3158.79,167860848,19591428,14807,0.72,20170104,58.07
20170103,3135.92,141567184,15988715,12865,0.62,20170103,57.54
20161230,3103.64,133267128,15173278,16918,0.82,20161230,57.39
20161229,3096.1,132623288,14991919,10933,0.53,20161229,56.57
20161228,3102.24,135727088,15432965,10040,0.49,20161228,56.88
20161227,3114.66,141528928,16219392,11163,0.54,20161227,57.51
20161226,3122.57,152571888,17055560,11197,0.54,20161226,57.98
20161223,3110.15,166176768,18928118,10315,0.5,20161223,57.64
20161222,3139.56,167804992,18598156,15022,0.73,20161222,58.52
20161221,3137.43,186706624,20424782,31009,1.5,20161221,59
20161220,3102.88,157426752,17161188,12040,0.58,20161220,56.99
20161219,3118.08,154169712,17450024,15994,0.78,20161219,56.73
20161216,3122.98,164988704,18984476,13008,0.63,20161216,57.75
20161215,3117.68,189990624,21286324,15154,0.74,20161215,57.23
20161214,3140.53,201358896,21920616,14097,0.68,20161214,56.9
20161213,3155.04,185164496,20317546,22616,1.1,20161213,56.92
20161212,3152.97,274708448,29426014,34846,1.69,20161212,58.11
20161209,3232.88,204023952,22638714,22258,1.08,20161209,61.4
20161208,3215.37,170710176,19780206,12697,0.62,20161208,61.69
20161207,3222.24,169072848,18944386,15485,0.75,20161207,61.69
20161206,3199.65,157572688,17717016,20612,1,20161206,61.4
20161205,3204.71,223010384,23859802,17863,0.87,20161205,61.8
20161202,3243.84,259567200,28155910,33808,1.64,20161202,61.9
20161201,3273.31,237759856,26155394,30868,1.5,20161201,63.16
20161130,3250.03,243576048,26280874,35425,1.72,20161130,63.5
20161129,3282.92,320836288,34814936,50353,2.44,20161129,62.95
20161128,3277,281551264,30046014,38098,1.85,20161128,62.93
20161125,3261.94,233921600,25911704,31176,1.51,20161125,62.11
20161124,3241.74,232324528,26722472,21346,1.04,20161124,61.61
20161123,3241.14,249959584,27794246,34025,1.65,20161123,62.29
20161122,3248.35,261631552,29248484,59972,2.91,20161122,63.25
20161121,3218.15,230652848,26317782,20427,0.99,20161121,61.29
20161118,3192.86,209826624,23535206,23352,1.13,20161118,61.37
20161117,3208.45,214206240,22677586,30465,1.48,20161117,61.89
20161116,3205.06,221766976,24485450,43460,2.11,20161116,62.48
20161115,3206.99,240886352,26700388,22129,1.07,20161115,61.68
20161114,3210.37,329608320,34697460,25335,1.23,20161114,61.29
20161111,3196.04,310854560,34377392,29167,1.42,20161111,60.8
20161110,3171.28,244192608,28599282,23361,1.13,20161110,61.28
20161109,3128.37,241114944,27722940,39843,1.93,20161109,60.65
20161108,3147.89,190846976,22158512,21013,1.02,20161108,61.96
20161107,3133.33,179418480,21060232,17456,0.85,20161107,61.79
20161104,3125.32,197683200,23904326,21949,1.07,20161104,61.8
20161103,3128.94,222986256,26582036,21119,1.02,20161103,61.51
20161102,3102.73,182722064,22167654,19731,0.96,20161102,61.5
20161101,3122.44,160232032,19583160,23836,1.16,20161101,62.42
20161031,3100.49,151506752,17842774,17363,0.84,20161031,61.6
20161028,3104.27,181774128,21259302,22498,1.09,20161028,61.54
20161027,3112.35,158008784,18223712,15728,0.76,20161027,62
20161026,3116.31,191663264,21576772,19726,0.96,20161026,62.42
20161025,3131.94,203380896,22086146,15030,0.73,20161025,63.18
